_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84
1581,000000000000000;Capitainerie du Port Atlantique Nantes Saint Nazaire;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100402,000000000000000;Fluvial;;NANTES;Quai Ernest Renaud;02 40 44 20 53;www.nantes.port.fr;44100;-1,573981391341;47,205400782347
3990,000000000000000;Pac en enclos Viviani;10,000000000000000;DEPLACEMENT;1005,000000000000000;Parc en Enclos;;;;NANTES;Rue René Viviani;;;44200;-1,536197069789;47,208775604289
4023,000000000000000;Station Delorme;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Boulevard Gabriel Guist'Hau;;;44000;-1,563993996422;47,215272752847
3696,000000000000000;12 Station Abonnement et Bonus Place Delorme;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;2 Boulevard Gabriel Guist'Hau;;www.bicloo.nantesmetropole.fr;44000;-1,563963566828;47,215158134429
4031,000000000000000;Station Doulon;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Place Gabriel Trarieux;;;44300;-1,522416970393;47,225899016345
4038,000000000000000;Station Duchesse Anne;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Rue Henri IV;;;44000;-1,547401479446;47,216776317627
3734,000000000000000;49 Station Accueil Duchesse Anne;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Rue Henri IV;;www.bicloo.nantesmetropole.fr;44000;-1,547077220790;47,216528748586
3554,000000000000000;Parc en enclos Château;10,000000000000000;DEPLACEMENT;1005,000000000000000;Parc en Enclos;;;;NANTES;Rue Henri IV;;;44000;-1,547850449685;47,216989960979
4002,000000000000000;94 Station Abonnement Petit Port;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Place du Huit Mai 1945;;www.bicloo.nantesmetropole.fr;44300;-1,556380986355;47,243262644076
288,000000000000000;Parking ouvrage Graslin;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking Ouvrage;100102,000000000000000;Elévation;;NANTES;Rue Scribe;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,562571816217;47,214310210506
3705,000000000000000;21 Station Accueil Marché Talensac Sud;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Rue de Talensac;;www.bicloo.nantesmetropole.fr;44000;-1,556494771798;47,221154818394
3629,000000000000000;Parc relais busway Bourdonnières 1;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parc Relais;100202,000000000000000;Enclos;;NANTES;Boulevard de Vendée;;;44200;-1,521154294565;47,186255590967
3716,000000000000000;31 Station Accueil Bourse;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Allée de la Bourse;;www.bicloo.nantesmetropole.fr;44000;-1,559105277589;47,212094380848
3763,000000000000000;77 Station Accueil Ecole d'Architecture;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100301,000000000000000;Bicloo;;NANTES;Quai François Mitterrand;;www.bicloo.nantesmetropole.fr;44200;-1,557551259669;47,207616902001
4036,000000000000000;Station Zola;10,000000000000000;DEPLACEMENT;1003,000000000000000;Transport partagé;100302,000000000000000;Marguerite;;NANTES;Rue des Renardières;;;44100;-1,586346204096;47,213899460439
3227,000000000000000;Parc relais tram Plaisance;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parc Relais;100203,000000000000000;Libre;;ST-HERBLAIN;Route de Vannes;;;44800;-1,593440523965;47,240532662020
